2015/06/05	代码	名称	最新	市盈率	涨幅	总额	换手率	销售毛利率	每股净资产	净利润同比	主营收入同比	连涨日子	连涨涨幅	连涨上市	涨停降幅	涨停位置	小幅个数	备忘	报告期	主营收入同比	A股	行业	市盈率	净利润同比	主营收入同比	400组振幅	外盘	30组涨幅	30日子	量比	均价	委比	委差	成交笔数	成交方向	总市值	流通市值
20	'600026'	中海发展	12.85	178.47①	5.33%	213490	6.17%	16.046	6.425	26.990	-8.540	110.000	24.155	2993.000	1.225	-69.967	24.750		20150331一季报	-8.540	273603	交通仓储	178.47①	26.990	-8.540	237.73%	852669	10.40%	1.000	1.55	12.64	-20.45%	-5560		-	5181163	3515803
21	'600027'	华电国际	9.38	11.73①	3.76%	206358	3.79%	29.862	3.797	49.670	-6.070					-16.500	30.926		20150331一季报	-6.070	588006	供水供电	11.73①	49.670	-6.070	273.73%	1090348	6.83%	1.000	1.51	9.27	-42.80%	-16104		+	8261238	5515493
22	'600028'	中国石化	7.77	138.75①	1.97%	729820	0.99%	19.438	5.546	-87.500	-25.400	2354.000	729.821	944.000	9.142	-58.533	21.422		20150331一季报	-25.400	9555777	采掘业	138.75①	-87.500	-25.400	127.60%	4510979	2.51%	0.000	1.53	7.72	-75.93%	-301845		-	94072328	74248384
23	'600029'	南方航空	10.70	14.08①	3.08%	274783	3.66%	21.708	3.815	721.900	6.810	56.000	36.829	2726.000	1.171	-51.440	28.684		20150331一季报	6.810	702265	交通仓储	14.08①	721.900	6.810	343.17%	1218120	1.52%	1.000	1.26	10.70	-58.46%	-31275		+	10504796	7514236
24	'600030'	中信证券	31.89	22.78①	-0.99%	1307843	4.16%	52.329	9.439	191.300	109.500	120.000	25.059	2811.000	1.260	-15.071	25.504		20150331一季报	109.500	981466	金融保险	22.78①	191.300	109.500	241.18%	1963978	-13.44%	0.000	1.12	32.05	-16.12%	-3009		+	35132920	31298954
25	'600031'	三一重工	12.66	771.95①	1.20%	425840	4.43%	26.900	3.067	-96.180	-37.800	1576.000	449.285	1271.000	5.076	-37.265	29.300		20150331一季报	-37.800	759371	机械仪表	771.95①	-96.180	-37.800	124.16%	1689180	8.58%	10.000	0.72	12.65	-22.29%	-11459		-	9642494	9613632
26	'600033'	福建高速	7.10	30.92①	0.14%	141550	7.29%	71.494	2.890	3.940	0.350					0.000	31.252		20150331一季报	0.350	274440	交通仓储	30.92①	3.940	0.350	276.24%	970281	8.56%	4.000	1.00	7.08	-27.42%	-11795		-	1948524	1948524
27	'600035'	楚天高速	8.68	14.56①	1.76%	74825	5.95%	72.154	2.652	191.340	14.230	35.000	-8.824	2558.000	1.000	0.000	27.844		20150331一季报	14.230	145338	交通仓储	14.56①	191.340	14.230	473.32%	401494	2.60%	1.000	1.13	8.65	-35.72%	-11120		-	1261532	1261532
28	'600036'	招商银行	19.99	7.35①	-2.20%	765149	1.83%	44.537	13.140	15.220	24.160					-34.856	39.760		20150331一季报	24.160	2062895	金融保险	7.35①	15.220	24.160	120.35%	1872390	10.02%	4.000	1.13	20.26	-3.92%	-522		-	50414468	41237260
29	'600037'	歌华有线	42.99	106.41①	-0.35%	136569	2.96%	13.697	6.029	73.630	2.020					-1.276	28.460		20150331一季报	2.020	106589	文化传播	106.41①	73.630	2.020	525.17%	152233	29.45%	34.000	0.86	43.32	-7.76%	-123		-	4582244	4582244
30	'600038'	中直股份	76.74	182.89①	2.13%	112606	3.69%	11.539	10.582	5.380	1.820	1717.000	154.612	1629.000	2.837	-0.581	21.698		20150331一季报	1.820	39265	机械仪表	182.89①	5.380	1.820	270.72%	66626	57.00%	26.000	0.93	77.80	76.60%	360		-	4523644	3013196
31	'600039'	四川路桥	7.79	69.06①	2.23%	171356	10.96%	15.517	2.494	16.050	16.390	683.000	171.429	2155.000	1.847	-35.680	22.956		20150331一季报	16.390	202113	建筑业	69.06①	16.050	16.390	199.50%	1146391	-3.95%	1.000	1.39	7.74	-72.12%	-49418		-	2352372	1574462
32	'600048'	保利地产	13.41	27.94①	5.09%	743979	5.29%	42.351	5.845	58.630	44.100	2001.000	452.614	132.000	5.365	-13.026	22.105		20150331一季报	44.100	1073378	房地产	27.94①	58.630	44.100	178.46%	2925722	-3.04%	0.000	1.80	13.11	-51.52%	-37019		+	14393993	14393993
33	'600050'	中国联通	9.21	46.52①	2.79%	851701	4.40%	26.603	3.697	-4.470	-5.730					-21.581	39.085		20150331一季报	-5.730	2119660	信息技术	46.52①	-4.470	-5.730	233.37%	4647837	4.78%	0.000	1.32	9.14	-79.14%	-158428		+	19522066	19522066
34	'600051'	宁波联合	18.03	14.68①	3.62%	37757	6.88%	39.074	6.678	261.400	58.550	1459.000	246.731	2797.000	2.600	-25.014	23.273		20150331一季报	58.550	30579	商业贸易	14.68①	261.400	58.550	205.60%	110110	31.51%	14.000	1.00	17.95	0.16%	6		+	560517	551343
35	'600052'	浙江广厦	11.29	-31.36①	9.82%	126765	13.16%	21.783	2.160	-13.340	-67.030	223.000	140.982	3970.000	2.410	-43.592	36.489		20150331一季报	-67.030	87179	房地产	-31.36①	-13.340	-67.030	227.82%	632822	32.59%	11.000	3.21	11.05	4.81%	1485		-	984250	984250
36	'600053'	中江地产	13.20	244.44①	0.00%			28.806	2.036	2.840	3.610	416.000	69.666	3540.000	1.697	-25.172	26.024		20150331一季报	3.610	43354	房地产	244.44①	2.840	3.610	104.81%		48.65%	19.000		13.20				+	572274	572274
37	'600054'	黄山旅游	25.51	209.79①	-2.04%	37690	12.55%	34.130	4.743	5.340	-1.300					-19.143	37.419		20150331一季报	-1.300	11762	社会服务	209.79①	5.340	-1.300	156.55%	72456	19.48%	3.000	1.53	25.53	29.94%	564		+	1202414	300049
38	'600055'	华润万东	53.46	-145.27①	0.00%			29.577	2.994	-35.150	29.820	153.000	173.313	4009.000	2.624	-3.984	31.127		20150331一季报	29.820	21645	机械仪表	-145.27①	-35.150	29.820	442.54%		111.64%	41.000		53.46				+	1157142	1157142
39	'600056'	中国医药		32.46①				13.362	5.125	33.790	10.120	447.000							20150331一季报	10.120	98220	商业贸易	32.46①	33.790	10.120						22.81					2309543	2240406
40	'600057'	象屿股份		63.25①				3.802	3.707	21.410	17.510	871.000							20150331一季报	17.510	42984	社会服务	63.25①	21.410	17.510						17.71					1835199	761247
41	'600058'	五矿发展		168.67				3.352	8.060	-24.930	-33.800								20141231年报	-33.800	107191	商业贸易	168.67	-24.930	-33.800						33.06					3543737	3543737
42	'600059'	古越龙山	15.71	56.92①	10.01%	95472	7.96%	36.266	4.655	1.960	3.960								20150331一季报	3.960	80852	食品饮料	56.92①	1.960	3.960		335271			1.63	14.83	100.00%	8107		-	1270191	1270191
43	'600060'	海信电器		22.81①				16.811	8.639	5.750	9.010	2363.000							20150331一季报	9.010	130848	机械仪表	22.81①	5.750	9.010						33.67					4405656	4405656
44	'600061'	中纺投资		40.44①				-5.400	6.320	534.110	65.900	115.000							20150331一季报	65.900	42908	纺织服装	40.44①	534.110	65.900						32.35					11950580	1388083
