2015/06/05	代码	名称	最新	市盈率	涨幅	总额	换手率	销售毛利率	每股净资产	净利润同比	主营收入同比	连涨日子	连涨涨幅	连涨上市	涨停降幅	涨停位置	小幅个数	备忘	报告期	主营收入同比	A股	行业	市盈率	净利润同比	主营收入同比	400组振幅	外盘	30组涨幅	30日子	量比	均价	委比	委差	成交笔数	成交方向	总市值	流通市值
449	'600567'	山鹰纸业		119.75①				17.826	1.594	27.690	8.390	576.000							20150331一季报	8.390	217622	造纸印刷	119.75①	27.690	8.390						4.79					1804364	1042411
450	'600568'	中珠控股		192.65①				23.534	4.718	-19.090	-21.500	764.000							20150331一季报	-21.500	36328	生物医药	192.65①	-19.090	-21.500						24.12					1221930	876224
451	'600569'	安阳钢铁		-32.23①				7.612	2.977	-381.340	-11.140	110.000							20150331一季报	-11.140	239368	金属材料	-32.23①	-381.340	-11.140						5.57					1333282	1333282
452	'600570'	恒生电子		306.41①				94.138	3.105	24.980	35.910	267.000							20150331一季报	35.910	61781	信息技术	306.41①	24.980	35.910						134.82					8329251	8329251
453	'600571'	信雅达  		476.51①				60.131	3.498	20.970	10.820	17.000							20150331一季报	10.820	20242	信息技术	476.51①	20.970	10.820						129.61					2623563	2623563
454	'600572'	康恩贝  		54.62①				69.399	5.025	-9.600	22.410	1260.000							20150331一季报	22.410	70096	生物医药	54.62①	-9.600	22.410						27.79					2736204	1947957
455	'600573'	惠泉啤酒		-75.33①				30.659	4.285	7.440	4.250								20150331一季报	4.250	25000	食品饮料	-75.33①	7.440	4.250						18.08					452000	452000
456	'600575'	皖江物流		51.38①				8.516	1.202	-36.350	-86.560	247.000							20150331一季报	-86.560	142320	交通仓储	51.38①	-36.350	-86.560						4.11					1185330	584935
457	'600576'	万好万家		-679.41①				100.000	2.215	-53.200	-82.310	2.000							20150331一季报	-82.310	21809	商业贸易	-679.41①	-53.200	-82.310						46.20					1007590	1007590
458	'600577'	精达股份		84.63①				10.543	2.835	1.980	-15.630								20150331一季报	-15.630	70957	机械仪表	84.63①	1.980	-15.630						13.54					1323755	960752
459	'600578'	京能电力		18.60①				23.638	3.195	-29.780	-12.850	1661.000							20150331一季报	-12.850	225732	供水供电	18.60①	-29.780	-12.850						7.44					3435287	1679444
460	'600579'	天华院  		1593.33①				25.449	1.739	491.410	7.010								20150331一季报	7.010	25560	石油化工	1593.33①	491.410	7.010						19.12					749639	488707
461	'600580'	卧龙电气		49.29①				21.194	3.453	52.880	29.260	547.000							20150331一季报	29.260	68773	机械仪表	49.29①	52.880	29.260						17.39					1931207	1195960
462	'600581'	八一钢铁		-3.13				-2.861	2.088	-6195.390	-11.030	53.000							20141231年报	-11.030	76645	金属材料	-3.13	-6195.390	-11.030						8.30					636153	636153
463	'600582'	天地科技		102.23①				30.826	6.162	-22.570	-18.030	175.000							20150331一季报	-18.030	121392	机械仪表	102.23①	-22.570	-18.030						21.96					4544171	2665768
464	'600583'	海油工程		74.25①				21.112	4.715	-25.360	-26.400								20150331一季报	-26.400	404901	采掘业	74.25①	-25.360	-26.400						14.85					6565712	6012786
465	'600584'	长电科技		123.82①				22.459	3.866	3721.480	22.530	7.000							20150331一季报	22.530	85313	电子	123.82①	3721.480	22.530						26.20					2579574	2235210
466	'600585'	海螺水泥		18.86①				29.286	13.052	-30.720	-11.090	2215.000							20150331一季报	-11.090	399970	金属材料	18.86①	-30.720	-11.090						24.14					12792516	9655282
467	'600586'	金晶科技		-67.75①				16.186	2.729	-255.030	-4.850	2248.000							20150331一季报	-4.850	96711	金属材料	-67.75①	-255.030	-4.850						8.13					1156661	786260
468	'600587'	新华医疗		63.11①				22.289	7.651	-7.770	39.430								20150331一季报	39.430	35890	机械仪表	63.11①	-7.770	39.430						50.49					2052056	1812101
469	'600588'	用友网络		-129.80①				51.407	2.501	-43.460	3.200	2177.000							20150331一季报	3.200	139711	信息技术	-129.80①	-43.460	3.200						48.13					6765648	6724268
470	'600589'	广东榕泰		142.63①				20.788	3.388	-23.960	-2.620								20150331一季报	-2.620	60173	石油化工	142.63①	-23.960	-2.620						10.84					652275	652275
471	'600590'	泰豪科技		651.43①				19.405	4.325	112.100	13.460								20150331一季报	13.460	50033	机械仪表	651.43①	112.100	13.460						18.24					923538	912594
472	'600592'	龙溪股份		125.48①				26.698	5.843	-28.100	-34.140								20150331一季报	-34.140	36955	机械仪表	125.48①	-28.100	-34.140						15.56					621705	575025
473	'600593'	大连圣亚		-140.64①				29.353	3.662	-12.610	10.510	1590.000							20150331一季报	10.510	9200	社会服务	-140.64①	-12.610	10.510						39.38					362296	362296
474	'600594'	益佰制药		98.73①				79.439	8.809	7.490	10.790								20150331一季报	10.790	39118	生物医药	98.73①	7.490	10.790						57.66					2283127	2255539
475	'600595'	中孚实业		-86.66①				6.285	3.120	-260.900	-30.470								20150331一季报	-30.470	151487	金属材料	-86.66①	-260.900	-30.470						8.77					1527331	1328544
476	'600596'	新安股份		577.63①				10.295	6.313	-90.580	8.990	2193.000							20150331一季报	8.990	67918	石油化工	577.63①	-90.580	8.990						13.17					894486	894486
477	'600597'	光明乳业		62.00①				35.125	3.442	39.250	8.070	2078.000							20150331一季报	8.070	122430	食品饮料	62.00①	39.250	8.070						19.84					2441583	2429015
478	'600598'	北大荒  		51.41①				65.318	2.891	-81.090	-66.110	2293.000							20150331一季报	-66.110	177768	农牧业	51.41①	-81.090	-66.110						17.89					3180269	3180269
479	'600599'	熊猫金控		917.75①				58.738	4.199	-79.940	102.910	114.000							20150331一季报	102.910	12600	石油化工	917.75①	-79.940	102.910						36.71					609386	462546
480	'600600'	青岛啤酒		35.39				39.455	11.390	0.850	2.680	2037.000							20141231年报	2.680	69591	食品饮料	35.39	0.850	2.680						52.13					7042674	3627798
481	'600601'	方正科技		276.24①				14.391	1.621	664.140	3.480								20150331一季报	3.480	219489	信息技术	276.24①	664.140	3.480						13.37					2934570	2934570
482	'600602'	仪电电子		257.00①				13.070	2.234	-36.350	18.760	1411.000							20150331一季报	18.760	87957	电子	257.00①	-36.350	18.760						10.28					1205785	904201
483	'600603'	大洲兴业		-119.61①				5.713	0.180	-202.800	-35.880	262.000							20150331一季报	-35.880	19464	综合类	-119.61①	-202.800	-35.880						18.85					366900	366900
484	'600604'	市北高新		-234.34①				31.896	2.253	-700.600	9.820	1808.000							20150331一季报	9.820	33352	房地产	-234.34①	-700.600	9.820						19.31					1093813	644035
485	'600605'	汇通能源		322.86①				6.508	3.315	29.790	-51.880	2099.000							20150331一季报	-51.880	14734	商业贸易	322.86①	29.790	-51.880						27.12					399599	399599
486	'600606'	金丰投资		-100.45①				93.226	3.496	-209.110	-33.880	23.000							20150331一季报	-33.880	51832	房地产	-100.45①	-209.110	-33.880						33.75					1749330	1749330
487	'600609'	金杯汽车		1797.50①				17.813	0.234	-37.800	-2.600	597.000							20150331一季报	-2.600	109267	机械仪表	1797.50①	-37.800	-2.600						7.19					785628	785628
488	'600610'	中毅达  		1593.33①				26.011	0.941	154.000	146.110	1863.000							20150331一季报	146.110	10811	机械仪表	1593.33①	154.000	146.110						19.12					2048277	206709
489	'600611'	大众交通		52.59①				23.969	4.235	71.150	-7.980	1961.000							20150331一季报	-7.980	104221	社会服务	52.59①	71.150	-7.980						17.25					2718741	1797814
490	'600612'	老凤祥  		23.84①				6.564	8.075	22.590	19.110	1397.000							20150331一季报	19.110	31711	其他制造	23.84①	22.590	19.110						52.98					2771478	1680047
491	'600613'	神奇制药		61.14①				76.981	4.876	66.940	14.700	707.000							20150331一季报	14.700	14769	生物医药	61.14①	66.940	14.700						26.90					1197211	397291
492	'600614'	鼎立股份		95.52①				21.130	3.980	318.390	63.900	1344.000							20150331一季报	63.900	44676	生物医药	95.52①	318.390	63.900						23.69					1814840	1058373
493	'600615'	丰华股份		300.13①				25.117	2.640	6.420	-10.950	1404.000							20150331一季报	-10.950	18762	房地产	300.13①	6.420	-10.950						24.01					451437	450486
494	'600616'	金枫酒业		28.85①				54.121	3.822	-4.120	7.290	3620.000							20150331一季报	7.290	48804	食品饮料	28.85①	-4.120	7.290						13.85					712748	675932
495	'600617'	国新能源		26.61①				20.410	2.256	39.000	46.910	1695.000						<*icon=29*> 	20150331一季报	46.910	22548	商业贸易	26.61①	39.000	46.910						19.95					2011287	449836
496	'600618'	氯碱化工		1008.57①				12.668	1.879	-62.600	12.290	984.000							20150331一季报	12.290	74984	石油化工	1008.57①	-62.600	12.290						14.12					1632837	1058774
497	'600619'	海立股份		95.50①				14.328	3.650	-14.020	-20.240	595.000							20150331一季报	-20.240	31857	机械仪表	95.50①	-14.020	-20.240						15.28					1020313	486782
498	'600620'	天宸股份		40.66①				53.655	1.959	13.880	68.700	1580.000							20150331一季报	68.700	45778	综合类	40.66①	13.880	68.700						20.38					932965	932965
499	'600621'	华鑫股份		57.87				67.909	3.345	-47.730	-46.510	1936.000							20141231年报	-46.510	52408	房地产	57.87	-47.730	-46.510						17.09					895657	895657
500	'600622'	嘉宝集团		13.10①				24.509	5.983	3.640	19.450	1473.000							20150331一季报	19.450	51430	综合类	13.10①	3.640	19.450						11.74					603793	603793
501	'600623'	双钱股份		-69.23①				11.881	3.379	-207.200	-31.890	47.000							20150331一季报	-31.890	64637	石油化工	-69.23①	-207.200	-31.890						25.20					2241459	1628847
502	'600624'	复旦复华		350.00①				24.979	2.547	8.180	-14.540	4810.000							20150331一季报	-14.540	34516	综合类	350.00①	8.180	-14.540						21.70					879186	748986
503	'600626'	申达股份		164.13①				7.508	3.234	-17.440	4.840	2466.000							20150331一季报	4.840	71024	商业贸易	164.13①	-17.440	4.840						23.11					1641371	1641371
504	'600628'	新世界  		44.59①				28.188	4.903	-16.090	-9.020	4773.000							20150331一季报	-9.020	53180	商业贸易	44.59①	-16.090	-9.020						14.27					758878	758878
505	'600629'	棱光实业		5290.00①				25.831	2.244	-29.970	45.630	139.000							20150331一季报	45.630	34800	金属材料	5290.00①	-29.970	45.630						42.32					1472735	1472735
506	'600630'	龙头股份		122.06①				23.063	3.882	29.150	0.820	1573.000							20150331一季报	0.820	42486	纺织服装	122.06①	29.150	0.820						19.53					829755	829755
507	'600633'	浙报传媒		59.75①				48.697	3.329	7.400	22.520	855.000							20150331一季报	22.520	113407	文化传播	59.75①	7.400	22.520						28.61					3399691	3244580
508	'600634'	中技控股		526.96①				20.444	4.120	-21.950	-43.980	185.000							20150331一季报	-43.980	39798	商业贸易	526.96①	-21.950	-43.980						29.51					1698985	1174435
509	'600635'	大众公用		195.70①				8.503	1.904	56.280	7.620	1949.000							20150331一季报	7.620	246730	供水供电	195.70①	56.280	7.620						22.31					5504557	5504557
510	'600636'	三爱富  		-56.81①				7.218	4.169	-213.570	56.190	1083.000							20150331一季报	56.190	38195	石油化工	-56.81①	-213.570	56.190						18.36					701261	701261
511	'600637'	百视通  		134.14①				39.272	10.178	9.140	67.100	26.000							20150331一季报	67.100	215844	文化传播	134.14①	9.140	67.100						75.28					18570014	16248707
512	'600638'	新黄浦  		94.81①				37.738	6.279	4.760	-44.590	308.000							20150331一季报	-44.590	56116	房地产	94.81①	4.760	-44.590						21.39					1200330	1200330
513	'600639'	浦东金桥		113.34①				57.517	7.744	17.050	9.880	373.000							20150331一季报	9.880	65665	房地产	113.34①	17.050	9.880						30.24					2808767	1985706
514	'600640'	号百控股		310.45①				16.029	4.742	-40.890	29.930	405.000							20150331一季报	29.930	53536	社会服务	310.45①	-40.890	29.930						27.32					1462616	1462616
515	'600641'	万业企业		21.71①				36.114	4.574	-27.010	95.150	417.000							20150331一季报	95.150	80616	房地产	21.71①	-27.010	95.150						7.99					644121	644121
516	'600642'	申能股份		15.78①				8.321	5.180	26.320	13.190	3572.000							20150331一季报	13.190	455204	采掘业	15.78①	26.320	13.190						9.53					4338093	4338093
517	'600643'	爱建股份		47.14①				56.653	4.832	26.890	20.880	420.000							20150331一季报	20.880	81799	金融保险	47.14①	26.890	20.880						22.06					2438716	1804491
518	'600645'	中源协和		47.23①				66.994	3.772	1797.050	72.240	1898.000							20150331一季报	72.240	32486	社会服务	47.23①	1797.050	72.240						79.34					3064550	2577458
519	'600647'	同达创业		533.89①				23.308	1.826	166.690	5.080	157.000							20150331一季报	5.080	13914	房地产	533.89①	166.690	5.080						35.45					493264	493264
520	'600648'	外高桥  		47.19①				33.801	8.041	612.840	79.970	411.000							20150331一季报	79.970	93479	商业贸易	47.19①	612.840	79.970						39.64					4500524	3705514
521	'600649'	城投控股		5.02①				35.895	6.200	308.060	-25.110	1537.000							20150331一季报	-25.110	298752	房地产	5.02①	308.060	-25.110						7.23					2159980	2159980
522	'600650'	锦江投资		68.86①				23.698	4.303	4.320	1.260	426.000							20150331一季报	1.260	39056	交通仓储	68.86①	4.320	1.260						24.24					1337103	946718
523	'600651'	飞乐音响		83.99①				24.378	3.001	750.950	42.900	2333.000							20150331一季报	42.900	73907	机械仪表	83.99①	750.950	42.900						14.11					1390145	1042821
524	'600652'	游久游戏		126.09①				35.964	2.474	309.950	15.730	271.000							20150331一季报	15.730	55700	采掘业	126.09①	309.950	15.730						24.21					2015975	1348503
525	'600653'	申华控股		89.20①				1.439	1.088	204.590	3.190	4742.000							20150331一季报	3.190	174638	商业贸易	89.20①	204.590	3.190						8.92					1557771	1557771
526	'600654'	中安消  		811.25①				31.465	2.689	72.180	103.830	3.000							20150331一季报	103.830	74395	电子	811.25①	72.180	103.830						32.45					4163403	2414133
527	'600655'	豫园商城		30.45①				10.845	5.407	44.690	-11.410	2053.000							20150331一季报	-11.410	143732	商业贸易	30.45①	44.690	-11.410						20.46					2940761	2940761
528	'600657'	信达地产		-117.38①				28.949	5.128	7.550	-25.780	113.000							20150331一季报	-25.780	152426	房地产	-117.38①	7.550	-25.780						9.39					1431281	1431281
529	'600658'	电子城  		197.75①				39.805	4.986	-95.260	-88.160	1449.000							20150331一季报	-88.160	58010	房地产	197.75①	-95.260	-88.160						15.82					917714	917714
530	'600660'	福耀玻璃		18.30①				42.381	5.137	22.670	11.050	1515.000							20150331一季报	11.050	200299	金属材料	18.30①	22.670	11.050						16.91					4242072	3387050
531	'600661'	新南洋  		360.73①				35.488	3.261	14.020	9.250	55.000							20150331一季报	9.250	17368	文化传播	360.73①	14.020	9.250						46.75					1211183	811939
532	'600662'	强生控股		124.49①				18.509	2.987	35.310	11.510	1163.000							20150331一季报	11.510	105336	社会服务	124.49①	35.310	11.510						19.72					2077230	2077230
533	'600663'	XD陆家嘴		86.85①				61.903	6.249	13.110	55.410	411.000							20150331一季报	55.410	135808	房地产	86.85①	13.110	55.410						56.21					10498252	7633791
534	'600664'	哈药股份		34.25①				24.743		-5.360		2596.000							20150331一季报		191748	生物医药	34.25①	-5.360							10.96					2101562	2101562
535	'600665'	天地源  		28825.00①				27.199	2.990	-99.740	-50.220	103.000							20150331一季报	-50.220	86412	房地产	28825.00①	-99.740	-50.220						11.53					996333	996333
536	'600666'	西南药业		251.66①				39.930	1.434	9.670	30.700	184.000							20150331一季报	30.700	29015	生物医药	251.66①	9.670	30.700						30.30					2244226	879143
537	'600667'	太极实业		-131.75①				11.848	1.311	9.580	15.290								20150331一季报	15.290	119127	电子	-131.75①	9.580	15.290						5.27					627802	627802
538	'600668'	尖峰集团		62.07①				17.984	5.686	-42.570	-1.420	1582.000							20150331一季报	-1.420	34385	金属材料	62.07①	-42.570	-1.420						17.38					598018	597615
539	'600671'	天目药业		-233.54①				26.315	0.643	-391.390	-39.980	4531.000							20150331一季报	-39.980	12172	生物医药	-233.54①	-391.390	-39.980						25.97					316260	316108
540	'600673'	东阳光科		913.33①				19.347	1.428	-21.820	-18.030	2088.000							20150331一季报	-18.030	245625	金属材料	913.33①	-21.820	-18.030						21.92					5411772	5384105
541	'600674'	川投能源		17.55①				56.410	7.162	94.710	-7.160	1463.000							20150331一季报	-7.160	220107	供水供电	17.55①	94.710	-7.160						24.61					5416834	5416834
542	'600675'	中华企业		-21.88①				26.941	2.692	-163.460	-32.100	3503.000							20150331一季报	-32.100	186706	房地产	-21.88①	-163.460	-32.100						8.84					1650481	1650481
543	'600676'	交运股份		53.33①				12.625	4.000	1.110	-11.950	1919.000							20150331一季报	-11.950	86237	机械仪表	53.33①	1.110	-11.950						19.88					1714399	1714399
544	'600677'	航天通信		-100.37①				12.492	3.639	-232.410	-20.440	0.000							20150331一季报	-20.440	39838	商业贸易	-100.37①	-232.410	-20.440						21.80					907813	868462
545	'600678'	四川金顶		-235.07①				-16.358	0.0389	-925.630	45.810	118.000							20150331一季报	45.810	34899	金属材料	-235.07①	-925.630	45.810						27.55					961467	961467
546	'600679'	金山开发		-1834.09①				12.085	1.993	90.070	-43.040	29.000							20150331一季报	-43.040	18202	机械仪表	-1834.09①	90.070	-43.040						16.14					570742	293780
547	'600680'	上海普天		-340.26①				10.872	3.570	-296.270	-2.200	306.000							20150331一季报	-2.200	25743	信息技术	-340.26①	-296.270	-2.200						25.86					988435	665702
548	'600681'	万鸿集团		1001.00				48.165	0.0816	136.980	-23.470	753.000							20141231年报	-23.470	24655	建筑业	1001.00	136.980	-23.470						10.01					251729	246800
549	'600682'	南京新百		-38.76①				33.049	4.373	-355.690	263.030	1408.000							20150331一季报	263.030	35796	商业贸易	-38.76①	-355.690	263.030						66.66					2388573	2386163
550	'600683'	京投银泰		-29.75①				18.466	2.432	-0.230	35.020	286.000							20150331一季报	35.020	74078	房地产	-29.75①	-0.230	35.020						10.71					793373	793373
551	'600684'	珠江实业		80.56①				32.688	2.956	-73.450	-38.470	37.000							20150331一季报	-38.470	71122	房地产	80.56①	-73.450	-38.470						12.89					916759	916759
552	'600685'	中船防务		-82.54①				2.964	7.099	-22.190	15.180	132.000							20150331一季报	15.180	43846	机械仪表	-82.54①	-22.190	15.180						51.64					7299348	2264225
553	'600686'	金龙汽车		78.50①				12.930	5.683	190.530	20.610	3901.000							20150331一季报	20.610	44260	机械仪表	78.50①	190.530	20.610						20.41					1238353	903341
554	'600687'	刚泰控股		54.87①				6.594	3.474	160.940	361.890	59.000							20150331一季报	361.890	24625	采掘业	54.87①	160.940	361.890						42.80					2098250	1053961
555	'600688'	上海石化		425.00①				22.521	1.541	171.500	-18.590	25.000							20150331一季报	-18.590	238500	石油化工	425.00①	171.500	-18.590						8.50					9180000	2027250
556	'600689'	上海三毛		-66.71①				7.784	1.770	-17.760	0.110	1562.000							20150331一季报	0.110	15220	纺织服装	-66.71①	-17.760	0.110						15.21					305708	231502
557	'600690'	青岛海尔		20.95①				27.664	7.540	13.110	-2.500	1692.000							20150331一季报	-2.500	273684	机械仪表	20.95①	13.110	-2.500						26.98					8218445	7383998
558	'600692'	亚通股份		728.43①				22.766	1.556	-40.280	-37.700	1627.000							20150331一季报	-37.700	25501	交通仓储	728.43①	-40.280	-37.700						14.86					522721	378946
559	'600693'	XD东百集		26.86①				23.083	4.017	-74.850	-9.000	4398.000							20150331一季报	-9.000	34217	商业贸易	26.86①	-74.850	-9.000						12.86					577561	440025
560	'600694'	大商股份		14.28①				21.810	21.754	-31.160	-3.440	1459.000							20150331一季报	-3.440	29372	商业贸易	14.28①	-31.160	-3.440						57.12					1677721	1677721
561	'600695'	绿庭投资		155.38①				7.328	1.407	227.020	8.860	993.000							20150331一季报	8.860	32957	食品饮料	155.38①	227.020	8.860						12.43					886508	409659
562	'600696'	多伦股份		-100.23①				100.000	1.716	-6777.010	-100.000	2.000							20150331一季报	-100.000	34057	房地产	-100.23①	-6777.010	-100.000						13.27					451931	451931
563	'600697'	欧亚集团		26.37①				18.014	10.291	13.800	13.080	3799.000							20150331一季报	13.080	15516	商业贸易	26.37①	13.800	13.080						31.64					503355	490914
564	'600698'	湖南天雁		677.63①				24.056	0.722	-67.600	-8.770	4120.000							20150331一季报	-8.770	42959	机械仪表	677.63①	-67.600	-8.770						10.30					1000972	442479
565	'600699'	均胜电子		57.93①				19.767	3.754	29.250	14.220	481.000							20150331一季报	14.220	44914	机械仪表	57.93①	29.250	14.220						34.76					2211239	1561227
566	'600701'	工大高新		-93.87①				36.173	1.774	-165.850	-3.920	0.000							20150331一季报	-3.920	49878	综合类	-93.87①	-165.850	-3.920						15.77					786579	786579
567	'600702'	沱牌舍得		531.15①				49.330	6.670	-45.610	-9.730	2207.000							20150331一季报	-9.730	33730	食品饮料	531.15①	-45.610	-9.730						27.62					931623	931623
568	'600703'	三安光电		50.27①				48.410	4.846	55.390	12.650	1483.000							20150331一季报	12.650	237038	电子	50.27①	55.390	12.650						30.16					7217545	7149062
569	'600704'	物产中大		47.80①				8.173	6.019	5.870	-10.440	69.000							20150331一季报	-10.440	79052	商业贸易	47.80①	5.870	-10.440						27.38					2727035	2164432
570	'600705'	中航资本		63.68①				48.300	4.068	47.140	22.140	103.000							20150331一季报	22.140	217704	综合类	63.68①	47.140	22.140						28.02					10459021	6100073
571	'600706'	曲江文旅		177.17①				32.177	4.401	261.000	-4.860								20150331一季报	-4.860	8573	社会服务	177.17①	261.000	-4.860						21.26					381638	182267
572	'600707'	彩虹股份		-43.41①				-21.019	1.816	-69.840	44.310	3604.000							20150331一季报	44.310	73472	电子	-43.41①	-69.840	44.310						17.19					1266487	1262980
573	'600708'	海博股份		77.94①				17.218	3.185	21.060	35.530	3589.000							20150331一季报	35.530	50838	交通仓储	77.94①	21.060	35.530						17.74					905397	901871
574	'600711'	盛屯矿业		-637.86①				3.916	2.402	45.680	98.290	65.000							20150331一季报	98.290	86621	商业贸易	-637.86①	45.680	98.290						17.86					2673736	1547045
575	'600712'	南宁百货		1112.50①				13.920	1.989	-6.130	-6.370	2096.000							20150331一季报	-6.370	53773	商业贸易	1112.50①	-6.130	-6.370						8.90					484743	478579
576	'600713'	南京医药		58.38①				6.115	2.441	366.750	12.250	2079.000							20150331一季报	12.250	69358	商业贸易	58.38①	366.750	12.250						12.61					1131654	874605
577	'600714'	金瑞矿业		2285.00①				26.200	1.746	-83.520	-12.400	52.000							20150331一季报	-12.400	27340	采掘业	2285.00①	-83.520	-12.400						13.71					395090	374838
578	'600716'	凤凰股份		-83.46①				44.804	2.813	-226.940	-64.860	1944.000							20150331一季报	-64.860	74060	房地产	-83.46①	-226.940	-64.860						15.89					1176814	1176814
579	'600717'	天津港  		31.42				17.708	8.115	7.910	53.530	3639.000							20141231年报	53.530	167477	交通仓储	31.42	7.910	53.530						21.68					3630900	3630900
580	'600718'	东软集团		399.25①				33.761	4.424	-15.780	-3.720	2006.000							20150331一季报	-3.720	122759	信息技术	399.25①	-15.780	-3.720						31.94					3920936	3920936
581	'600719'	大连热电						38.200	3.961	76.580	4.930	1848.000							20150331一季报	4.930	20230	供水供电		76.580	4.930												
582	'600720'	祁连山  		-13.58①				4.401	6.077	-92.760	-37.140								20150331一季报	-37.140	77616	金属材料	-13.58①	-92.760	-37.140						11.46					889629	889482
583	'600721'	百花村  		-24.46①				2.996	2.558	-429.950	-26.650	2946.000							20150331一季报	-26.650	24852	石油化工	-24.46①	-429.950	-26.650						18.99					471948	471948
584	'600723'	首商股份		25.07①				21.500	4.742	4.330	-3.460	1139.000							20150331一季报	-3.460	65807	商业贸易	25.07①	4.330	-3.460						10.83					713055	712689
585	'600724'	宁波富达		74.79①				30.639	2.626	-86.920	-67.040	1706.000							20150331一季报	-67.040	144494	房地产	74.79①	-86.920	-67.040						6.97					1007333	1007125
586	'600725'	云维股份		-6.71①				-0.705	0.208	-33.630	-29.680	24.000							20150331一季报	-29.680	61624	石油化工	-6.71①	-33.630	-29.680						8.81					542903	542903
587	'600726'	华电能源		8.38①				25.649	1.776	22.120	-1.590	579.000							20150331一季报	-1.590	153468	供水供电	8.38①	22.120	-1.590						6.03					1185905	925409
588	'600727'	鲁北化工		96.08①				18.441	2.960	159.690	29.100								20150331一季报	29.100	35093	石油化工	96.08①	159.690	29.100						11.53					404688	404618
589	'600728'	佳都科技		-305.36①				13.912	2.375	25.720	6.520	2.000							20150331一季报	6.520	39692	信息技术	-305.36①	25.720	6.520						32.49					1623743	1289583
590	'600729'	重庆百货		9.71①				16.870	12.026	3.360	-6.910	1348.000							20150331一季报	-6.910	37231	商业贸易	9.71①	3.360	-6.910						31.46					1278939	1171292
591	'600730'	中国高科		114.78①				10.465	4.669	-77.480	-78.940	17.000							20150331一季报	-78.940	29333	商业贸易	114.78①	-77.480	-78.940						41.32					1212031	1212031
592	'600731'	湖南海利		317.31①				23.388	2.264	-20.990	-1.480	1917.000							20150331一季报	-1.480	25565	石油化工	317.31①	-20.990	-1.480						13.20					432055	337462
593	'600733'	S前锋   		-757.39①				23.049	1.540	-155.290	7399.350	3619.000							20150331一季报	7399.350	7560	房地产	-757.39①	-155.290	7399.350						66.65					1316911	503874
594	'600734'	实达集团		-64.20①				33.167	0.295	-39.890	253.610								20150331一季报	253.610	35111	房地产	-64.20①	-39.890	253.610						9.81					344879	344437
595	'600735'	新华锦  		195.14①				19.765	1.738	1.860	13.120	683.000							20150331一季报	13.120	31350	纺织服装	195.14①	1.860	13.120						21.70					816027	680287
596	'600736'	苏州高新		182.44①				26.129	3.980	-12.420	-4.330								20150331一季报	-4.330	105788	房地产	182.44①	-12.420	-4.330						9.56					1141744	1011335
597	'600737'	中粮屯河		-55.58①				11.808	2.668	-178.080	14.640								20150331一季报	14.640	132266	食品饮料	-55.58①	-178.080	14.640						13.34					2737203	1764433
598	'600738'	兰州民百		31.08①				25.305	3.060	-9.520	-6.640	744.000							20150331一季报	-6.640	26211	商业贸易	31.08①	-9.520	-6.640						10.32					380671	270495
599	'600739'	辽宁成大		21.76①				23.228	10.140	122.640	-23.210	1684.000							20150331一季报	-23.210	136471	商业贸易	21.76①	122.640	-23.210						28.20					4313782	3848482
600	'600740'	山西焦化		-22.52①				1.639	3.580	-1681.290	-30.380	757.000							20150331一季报	-30.380	65683	石油化工	-22.52①	-1681.290	-30.380						10.27					786374	674567
601	'600741'	华域汽车		10.08①				14.222	9.568	13.290	11.270	1472.000							20150331一季报	11.270	258320	机械仪表	10.08①	13.290	11.270						19.99					5163817	5163817
602	'600742'	一汽富维		21.81①				5.515	17.582	-9.360	14.740	1946.000							20150331一季报	14.740	21152	机械仪表	21.81①	-9.360	14.740						34.03					719814	719814
603	'600743'	华远地产		88.75①				24.257	2.141	-52.410	-3.190	1844.000							20150331一季报	-3.190	181766	房地产	88.75①	-52.410	-3.190						7.10					1290539	1290539
604	'600744'	华银电力		20.25①				18.758	1.958	636.900	10.860	16.000							20150331一季报	10.860	47438	供水供电	20.25①	636.900	10.860						12.96					922296	614802
605	'600745'	中茵股份		-160.00①				32.370	5.337	-959.850	-47.510	28.000							20150331一季报	-47.510	32737	房地产	-160.00①	-959.850	-47.510						38.40					1855950	1257120
606	'600746'	江苏索普		-101.75①				-2.884	1.401	-265.700	-24.850								20150331一季报	-24.850	30466	石油化工	-101.75①	-265.700	-24.850						11.03					337983	336041
607	'600747'	大连控股		-118.85①				1.525	1.439	8.400	-18.840	2044.000							20150331一季报	-18.840	106433	电子	-118.85①	8.400	-18.840						6.18					904955	657755
608	'600748'	上实发展		47.19①				31.865	4.491	-87.020	56.140	1828.000							20150331一季报	56.140	108337	房地产	47.19①	-87.020	56.140						15.10					1635890	1635890
609	'600749'	西藏旅游		-51.07①				-103.790	3.188	-71.500	-32.470	36.000							20150331一季报	-32.470	18914	社会服务	-51.07①	-71.500	-32.470						28.58					540556	540556
610	'600750'	江中药业		43.73①				48.570	6.837	18.630	-10.970	1704.000							20150331一季报	-10.970	30000	生物医药	43.73①	18.630	-10.970						36.73					1101900	1101900
611	'600751'	天津海运		5145.83①				0.737	4.103	118.370	-17.290	427.000							20150331一季报	-17.290	34351	交通仓储	5145.83①	118.370	-17.290						12.35					3580682	424232
612	'600753'	东方银星		-1461.96③				100.000	0.773	-84.660	-64.460	181.000							20140930三季报	-64.460	12800	商业贸易	-1461.96③	-84.660	-64.460						27.29					349312	349312
